,american_airlines_price
2022-11-03,13.73
2022-11-04,14.11
2022-11-07,14.32
2022-11-08,14.25
2022-11-09,13.98
2022-11-10,14.93
2022-11-11,14.88
2022-11-14,14.68
2022-11-15,14.61
2022-11-16,14.09
2022-11-17,13.95
2022-11-18,14.05
2022-11-21,13.85
2022-11-22,13.98
2022-11-23,14.42
2022-11-25,14.5
2022-11-28,13.83
2022-11-29,14.14
2022-11-30,14.43
2022-12-01,13.98
2022-12-02,13.97
2022-12-05,14.11
2022-12-06,14.33
2022-12-07,13.55
2022-12-08,13.6
2022-12-09,13.53
2022-12-12,14.2
2022-12-13,13.46
2022-12-14,13.35
2022-12-15,12.93
2022-12-16,12.81
2022-12-19,12.48
2022-12-20,12.53
2022-12-21,13.03
2022-12-22,12.56
2022-12-23,12.71
2022-12-27,12.53
2022-12-28,12.32
2022-12-29,12.7
2022-12-30,12.72
2023-01-03,12.74
2023-01-04,13.59
2023-01-05,13.99
2023-01-06,14.18
2023-01-09,14.61
2023-01-10,15.19
2023-01-11,15.34
2023-01-12,16.83
2023-01-13,17.02
2023-01-17,17.08
2023-01-18,16.64
2023-01-19,16.28
2023-01-20,16.34
2023-01-23,16.17
2023-01-24,16.02
2023-01-25,16.26
2023-01-26,16.61
2023-01-27,16.43
2023-01-30,15.96
2023-01-31,16.14
2023-02-01,16.69
2023-02-02,17.06
2023-02-03,17.02
2023-02-06,16.92
2023-02-07,16.96
2023-02-08,16.97
2023-02-09,16.66
2023-02-10,16.28
2023-02-13,16.51
2023-02-14,16.79
2023-02-15,16.8
2023-02-16,16.39
2023-02-17,16.36
2023-02-21,15.69
2023-02-22,15.56
2023-02-23,15.87
2023-02-24,15.56
2023-02-27,15.63
2023-02-28,15.98
2023-03-01,16.03
2023-03-02,16.12
2023-03-03,16.36
2023-03-06,16.12
2023-03-07,16.36
2023-03-08,16.59
2023-03-09,15.88
2023-03-10,15.46
2023-03-13,14.85
2023-03-14,14.66
2023-03-15,13.86
2023-03-16,14.12
2023-03-17,13.98
2023-03-20,13.96
2023-03-21,14.37
2023-03-22,13.82
2023-03-23,13.63
2023-03-24,13.72
2023-03-27,13.94
2023-03-28,13.98
2023-03-29,14.35
